ID,Event,Year,Season,Medal,Age
2007,Football Mens Football,1992,Summer,,20
2008,Swimming Mens 100 metres Backstroke,2016,Summer,,17
2009,Fencing Mens epee Individual,1980,Summer,,17
2009,Fencing Mens epee Team,1980,Summer,,17
2009,Fencing Mens epee Individual,1984,Summer,,21
2009,Fencing Mens epee Team,1984,Summer,,21
2010,Taekwondo Mens Flyweight,2012,Summer,,23
2011,Swimming Mens 100 metres Breaststroke,2000,Summer,,21
2011,Swimming Mens 100 metres Breaststroke,2004,Summer,,24
2012,Swimming Mens 50 metres Freestyle,2000,Summer,,14
2013,Football Mens Football,1992,Summer,,19
2014,Athletics Mens 4 x 100 metres Relay,1988,Summer,,24
2014,Athletics Mens 200 metres,1992,Summer,,28
2015,Football Mens Football,1992,Summer,,18
2016,Football Mens Football,1992,Summer,,20
2017,Shooting Mens Small-Bore Rifle Prone 50 metres,2000,Summer,,30
2018,Swimming Mens 1500 metres Freestyle,1996,Summer,,18
2019,Athletics Mens 5000 metres,1972,Summer,,19
2020,Swimming Mens 100 metres Backstroke,2000,Summer,,16
2021,Swimming Womens 50 metres Freestyle,2016,Summer,,17
2022,Weightlifting Mens Middle-Heavyweight,2004,Summer,,22
2024,Football Mens Football,1992,Summer,,21
2025,Shooting Mens Trap,2000,Summer,,36
2025,Shooting Mens Double Trap,2000,Summer,,36
2025,Shooting Mens Trap,2004,Summer,,40
2025,Shooting Mens Double Trap,2004,Summer,Gold,40
2025,Shooting Mens Trap,2008,Summer,,44
2025,Shooting Mens Double Trap,2008,Summer,,44
2026,Equestrianism Mixed Jumping Individual,2008,Summer,,22
2027,Taekwondo Womens Welterweight,2008,Summer,,28
2028,Shooting Mens Double Trap,2012,Summer,,27
2029,Shooting Mens Skeet,2000,Summer,,23
2029,Shooting Mens Skeet,2004,Summer,,27
2029,Shooting Mens Skeet,2008,Summer,,31
2029,Shooting Mens Skeet,2012,Summer,,35
2029,Shooting Mens Skeet,2016,Summer,,39
2030,Athletics Womens 100 metres,2012,Summer,,17
2031,Athletics Mens 400 metres,1984,Summer,,21
2031,Athletics Mens 4 x 400 metres Relay,1984,Summer,,21
2031,Athletics Mens 400 metres,1988,Summer,,25
2031,Athletics Mens 4 x 400 metres Relay,1988,Summer,,25
2031,Athletics Mens 400 metres,1992,Summer,,29
2032,Athletics Mens 4 x 100 metres Relay,1976,Summer,,17
2033,Athletics Mens Marathon,1980,Summer,,
2034,Football Mens Football,1996,Summer,,21
2035,Handball Mens Handball,1996,Summer,,26
2036,Handball Mens Handball,1996,Summer,,24
2037,Swimming Mens 50 metres Freestyle,2000,Summer,,21
2038,Archery Womens Individual,2012,Summer,,17
2039,Fencing Mens epee Individual,1988,Summer,,19
2039,Fencing Mens epee Team,1988,Summer,,19
2040,Fencing Womens Foil Individual,1976,Summer,,22
2040,Fencing Womens Foil Team,1976,Summer,,22
2041,Athletics Mens 4 x 100 metres Relay,2000,Summer,,26
2042,Wrestling Mens Lightweight Greco-Roman,1988,Summer,,25
2042,Wrestling Mens Lightweight Freestyle,1988,Summer,,25
